,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
62,640,1,1,yolov8n-pt,ocsort,900.0,1.533686,1.15381,1.097051,0.34246,0.795296,8985.0,1.0,2.0,1.0,792.0,5908.0,3.0,1268.0,0.253979,0.186608,0.8,8.7,1.1,1.8,11160.0
63,640,5,1,yolov8m-pt,bytetrack,180.0,1.640777,1.35953,1.223955,0.466852,0.949037,1795.0,1.0,2.0,1.0,45.0,957.0,0.0,257.0,0.441783,0.205071,0.6,12.5,1.0,1.4,2790.0
64,320,2,1,yolov8m-pt,strongsort,450.0,1.557836,1.140892,0.996883,0.263134,0.940334,4492.0,1.0,1.0,2.0,75.0,3310.0,8.0,582.0,0.244657,0.190171,0.6,13.9,1.3,23.6,17730.000000000004
65,320,4,1,yolov8n-pt,ocsort,225.0,1.430939,1.017396,0.807213,0.104185,0.8125,2246.0,0.0,2.0,2.0,54.0,2012.0,2.0,155.0,0.079252,0.176371,0.4,9.6,1.0,1.5,2812.5
66,480,3,1,yolov8n-pt,strongsort,300.0,1.54934,1.1301,0.980628,0.245157,0.922111,2994.0,0.0,2.0,2.0,62.0,2260.0,1.0,397.0,0.224115,0.206279,1.0,10.6,1.7,25.5,11640.0
67,320,3,1,yolov8n-pt,bytetrack,300.0,1.433115,1.013228,0.767535,0.068804,0.967136,2994.0,0.0,1.0,3.0,7.0,2788.0,0.0,152.0,0.066466,0.244511,0.4,9.4,1.0,0.6,3420.0
68,480,4,1,yolov8n-pt,bytetrack,225.0,1.521886,1.088283,0.90561,0.185663,0.976581,2246.0,0.0,2.0,2.0,10.0,1829.0,0.0,227.0,0.181211,0.238711,0.4,9.2,1.1,0.9,2610.0
69,640,5,1,yolov8m-pt,ocsort,180.0,1.631014,1.415865,1.312535,0.55376,0.908592,1795.0,1.0,2.0,1.0,100.0,801.0,2.0,234.0,0.496936,0.184665,0.5,12.8,1.0,3.1,3132.0000000000005
70,640,1,1,yolov8l-pt,strongsort,900.0,1.568284,1.382645,1.363717,0.60256,0.815239,8985.0,1.0,2.0,1.0,1227.0,3571.0,28.0,1156.0,0.462883,0.191949,0.7,28.9,1.1,29.0,53730.0
71,320,4,1,yolov8l-pt,bytetrack,225.0,1.549858,1.126877,0.968833,0.243544,0.97331,2246.0,1.0,1.0,2.0,15.0,1699.0,0.0,270.0,0.236866,0.229599,0.5,15.0,1.1,1.0,3960.0000000000005
72,320,3,1,yolov8m-pt,strongsort,300.0,1.560899,1.143623,0.997328,0.264195,0.950721,2994.0,1.0,1.0,2.0,41.0,2203.0,4.0,390.0,0.249165,0.191327,0.8,15.5,1.4,24.1,12540.0
73,320,5,1,yolov8l-pt,ocsort,180.0,1.556323,1.146947,1.004457,0.275209,0.94636,1795.0,1.0,1.0,2.0,28.0,1301.0,2.0,225.0,0.258496,0.1851,0.4,15.4,1.1,2.1,3420.0000000000005
74,640,1,1,yolov8m-pt,ocsort,900.0,1.627668,1.418774,1.323873,0.56227,0.897176,8985.0,1.0,2.0,1.0,579.0,3933.0,9.0,1198.0,0.496828,0.188322,0.4,11.3,1.0,2.3,13500.0
75,480,4,1,yolov8m-pt,ocsort,225.0,1.614885,1.323971,1.217275,0.46171,0.909649,2246.0,1.0,2.0,1.0,103.0,1209.0,4.0,338.0,0.414069,0.214622,0.4,12.2,1.0,2.6,3645.0
76,320,2,1,yolov8m-pt,ocsort,450.0,1.554047,1.139648,0.993767,0.262244,0.940144,4492.0,1.0,1.0,2.0,75.0,3314.0,6.0,567.0,0.244212,0.183961,0.3,11.6,1.1,1.6,6570.0
77,480,1,1,yolov8m-pt,strongsort,900.0,1.607745,1.325913,1.219811,0.463884,0.896537,8985.0,1.0,2.0,1.0,481.0,4817.0,12.0,1346.0,0.409015,0.216673,0.7,16.7,1.4,27.3,41489.99999999999
78,640,5,1,yolov8l-pt,strongsort,180.0,1.546061,1.321164,1.290251,0.535376,0.800167,1795.0,1.0,2.0,1.0,240.0,834.0,4.0,243.0,0.399443,0.182509,0.8,37.7,1.3,30.0,12564.0
79,480,2,1,yolov8m-pt,strongsort,450.0,1.60623,1.321567,1.21683,0.461932,0.896716,4492.0,1.0,2.0,1.0,239.0,2417.0,8.0,676.0,0.406946,0.215746,0.7,18.5,1.4,28.1,21915.0
80,480,3,1,yolov8n-pt,ocsort,300.0,1.53729,1.128373,0.977622,0.245825,0.904177,2994.0,1.0,1.0,2.0,78.0,2258.0,3.0,382.0,0.218771,0.20136,0.6,10.2,1.3,2.1,4260.0
81,640,2,1,yolov8s-pt,bytetrack,450.0,1.619078,1.274701,1.137355,0.384239,0.948873,4492.0,1.0,2.0,1.0,93.0,2766.0,0.0,643.0,0.363535,0.191471,0.5,9.3,1.0,1.2,5400.0
82,320,3,1,yolov8s-pt,bytetrack,300.0,1.481266,1.055901,0.851703,0.144289,0.962138,2994.0,1.0,1.0,2.0,17.0,2562.0,0.0,236.0,0.138611,0.205122,0.4,9.6,1.1,0.8,3570.0
83,320,4,1,yolov8m-pt,ocsort,225.0,1.553534,1.137295,0.988424,0.258237,0.947712,2246.0,1.0,1.0,2.0,32.0,1666.0,4.0,279.0,0.242208,0.178382,0.5,12.4,1.1,1.9,3577.5
84,320,4,1,yolov8n-pt,bytetrack,225.0,1.431799,1.011827,0.761799,0.063224,0.986111,2246.0,0.0,1.0,3.0,2.0,2104.0,0.0,108.0,0.062333,0.254319,0.4,9.5,1.0,0.6,2587.5
85,640,1,1,yolov8l-pt,bytetrack,900.0,1.636806,1.396146,1.274012,0.516528,0.927829,8985.0,1.0,2.0,1.0,361.0,4344.0,0.0,1310.0,0.476349,0.192254,0.4,13.3,0.9,1.3,14310.000000000002
86,640,5,1,yolov8m-pt,strongsort,180.0,1.62732,1.396873,1.29415,0.531476,0.9,1795.0,1.0,2.0,1.0,106.0,841.0,2.0,242.0,0.471309,0.188736,1.0,32.9,1.3,30.0,11735.999999999998
87,640,2,1,yolov8m-pt,ocsort,450.0,1.628622,1.417404,1.319902,0.558326,0.899247,4492.0,1.0,2.0,1.0,281.0,1984.0,6.0,598.0,0.494435,0.18693,0.6,11.7,1.0,2.4,7065.0
88,480,1,1,yolov8s-pt,bytetrack,900.0,1.581276,1.15239,1.030161,0.28581,0.943424,8985.0,1.0,1.0,2.0,154.0,6417.0,0.0,1236.0,0.26867,0.202704,0.6,9.6,1.2,1.0,11159.999999999998
89,480,5,1,yolov8m-pt,bytetrack,180.0,1.592027,1.174593,1.045682,0.296379,0.944938,1795.0,1.0,1.0,2.0,31.0,1263.0,0.0,249.0,0.279109,0.231568,0.5,12.4,1.0,1.1,2700.0
90,640,2,1,yolov8n-pt,ocsort,450.0,1.534623,1.152495,1.09528,0.340383,0.796354,4492.0,1.0,2.0,1.0,391.0,2963.0,4.0,640.0,0.252449,0.186842,0.8,9.2,1.2,2.1,5984.999999999999
91,480,3,1,yolov8l-pt,bytetrack,300.0,1.621198,1.312197,1.175017,0.423514,0.942051,2994.0,1.0,2.0,1.0,78.0,1726.0,0.0,437.0,0.397462,0.214123,0.5,14.3,1.0,1.3,5130.0
92,480,4,1,yolov8l-pt,strongsort,225.0,1.63391,1.369223,1.239982,0.483972,0.934652,2246.0,1.0,2.0,1.0,76.0,1159.0,6.0,340.0,0.447462,0.199345,0.8,31.8,1.3,27.7,13859.999999999998
93,640,2,1,yolov8n-pt,bytetrack,450.0,1.600616,1.180464,1.041184,0.288958,0.960059,4492.0,0.0,2.0,2.0,54.0,3194.0,0.0,628.0,0.276937,0.210631,0.7,9.0,1.1,1.1,5354.999999999999
94,480,5,1,yolov8s-pt,bytetrack,180.0,1.57881,1.151362,1.012813,0.271309,0.958661,1795.0,1.0,1.0,2.0,21.0,1308.0,0.0,231.0,0.25961,0.24469,0.4,9.6,1.1,1.1,2196.0
95,640,3,1,yolov8l-pt,ocsort,300.0,1.566569,1.369351,1.346025,0.591182,0.822873,2994.0,1.0,2.0,1.0,381.0,1224.0,10.0,390.0,0.460588,0.186472,0.4,14.3,1.0,2.9,5580.0
96,320,4,1,yolov8m-pt,strongsort,225.0,1.552585,1.130056,0.982636,0.252004,0.948074,2246.0,1.0,1.0,2.0,31.0,1680.0,4.0,286.0,0.23642,0.187213,0.8,17.7,1.5,24.5,10012.5
97,480,3,1,yolov8l-pt,ocsort,300.0,1.625731,1.377248,1.253507,0.503674,0.929144,2994.0,1.0,2.0,1.0,115.0,1486.0,6.0,446.0,0.46326,0.197567,0.6,14.8,1.1,2.5,5700.0
98,320,3,1,yolov8m-pt,bytetrack,300.0,1.535211,1.113556,0.94656,0.225117,0.965616,2994.0,1.0,1.0,2.0,24.0,2320.0,0.0,333.0,0.217101,0.219533,0.4,11.7,1.1,1.0,4260.0
99,480,5,1,yolov8m-pt,ocsort,180.0,1.611091,1.319806,1.213928,0.45961,0.906593,1795.0,1.0,2.0,1.0,85.0,970.0,4.0,267.0,0.410028,0.213726,0.5,12.4,1.0,2.8,3006.0
100,320,1,1,yolov8m-pt,ocsort,900.0,1.554108,1.140181,0.995771,0.263773,0.937129,8985.0,1.0,1.0,2.0,159.0,6615.0,13.0,1145.0,0.24463,0.185096,0.3,11.4,1.0,1.4,12690.000000000002
101,480,5,1,yolov8l-pt,ocsort,180.0,1.62723,1.372007,1.245125,0.494708,0.932773,1795.0,1.0,2.0,1.0,64.0,907.0,2.0,269.0,0.457939,0.196756,0.4,15.3,1.0,2.8,3510.0000000000005
102,640,4,1,yolov8m-pt,ocsort,225.0,1.637119,1.424096,1.315672,0.553874,0.912023,2246.0,1.0,2.0,1.0,120.0,1002.0,0.0,299.0,0.500445,0.186885,0.5,12.5,1.1,2.9,3825.0
103,640,4,1,yolov8s-pt,strongsort,225.0,1.62522,1.370425,1.233749,0.470169,0.907216,2246.0,1.0,2.0,1.0,108.0,1190.0,2.0,327.0,0.421193,0.19311,1.0,21.4,1.6,29.4,12015.0
104,640,2,1,yolov8l-pt,ocsort,450.0,1.571023,1.376556,1.354185,0.595726,0.822878,4492.0,1.0,2.0,1.0,576.0,1816.0,16.0,585.0,0.463936,0.189333,0.5,14.3,1.0,2.9,8415.0
105,480,3,1,yolov8l-pt,strongsort,300.0,1.624456,1.374954,1.246827,0.49666,0.928215,2994.0,1.0,2.0,1.0,115.0,1507.0,4.0,449.0,0.456914,0.19745,0.8,30.4,1.3,27.8,18090.0
106,480,3,1,yolov8s-pt,ocsort,300.0,1.570724,1.180808,1.064462,0.315631,0.888158,2994.0,1.0,1.0,2.0,119.0,2049.0,4.0,424.0,0.274549,0.190276,0.6,10.2,1.2,2.1,4229.999999999999
107,480,5,1,yolov8l-pt,bytetrack,180.0,1.615837,1.285714,1.148189,0.402786,0.956349,1795.0,1.0,2.0,1.0,33.0,1072.0,2.0,257.0,0.383287,0.221274,0.5,15.0,1.0,1.3,3204.0
108,640,3,1,yolov8m-pt,ocsort,300.0,1.624175,1.409091,1.314963,0.55678,0.899137,2994.0,1.0,2.0,1.0,187.0,1327.0,8.0,402.0,0.49165,0.186206,0.6,12.1,1.0,2.7,4920.0
109,480,2,1,yolov8m-pt,ocsort,450.0,1.611585,1.326797,1.220169,0.463713,0.901732,4492.0,1.0,2.0,1.0,227.0,2409.0,4.0,670.0,0.412289,0.214591,0.6,12.3,1.2,2.4,7425.0
110,320,1,1,yolov8n-pt,strongsort,900.0,1.433275,1.021366,0.814023,0.108069,0.79525,8985.0,0.0,2.0,2.0,250.0,8014.0,3.0,637.0,0.079911,0.17776,0.6,9.2,1.1,20.4,28169.999999999996
111,640,1,1,yolov8m-pt,strongsort,900.0,1.626141,1.421034,1.32788,0.565164,0.8926,8985.0,1.0,2.0,1.0,611.0,3907.0,6.0,1191.0,0.496494,0.190743,0.9,26.5,1.3,28.1,51120.0
112,640,1,1,yolov8n-pt,strongsort,900.0,1.532096,1.152548,1.102393,0.345465,0.786819,8985.0,1.0,2.0,1.0,841.0,5881.0,3.0,1268.0,0.25153,0.189801,1.1,12.0,1.5,28.2,38520.0
113,320,1,1,yolov8n-pt,bytetrack,900.0,1.437481,1.017541,0.774736,0.07557,0.97,8985.0,0.0,2.0,2.0,21.0,8306.0,0.0,487.0,0.073233,0.191692,0.5,9.8,1.1,0.6,10800.0
114,480,1,1,yolov8n-pt,ocsort,900.0,1.542348,1.134207,0.98197,0.247969,0.907166,8985.0,1.0,1.0,2.0,228.0,6757.0,4.0,1133.0,0.222148,0.202074,0.6,9.2,1.2,1.5,11249.999999999998
115,640,1,1,yolov8l-pt,ocsort,900.0,1.572311,1.381259,1.360045,0.599889,0.821772,8985.0,1.0,2.0,1.0,1169.0,3595.0,22.0,1156.0,0.467334,0.189149,0.5,13.5,1.0,2.5,15750.0
116,320,5,1,yolov8n-pt,strongsort,180.0,1.417417,1.001414,0.788858,0.086908,0.768473,1795.0,0.0,2.0,2.0,47.0,1639.0,2.0,109.0,0.05961,0.164973,0.7,10.8,1.3,21.5,6173.999999999999
117,320,3,1,yolov8s-pt,ocsort,300.0,1.52484,1.091379,0.917502,0.195391,0.960591,2994.0,1.0,1.0,2.0,24.0,2409.0,0.0,327.0,0.187375,0.170618,0.4,9.5,1.1,1.5,3750.0
118,320,5,1,yolov8n-pt,ocsort,180.0,1.435796,1.018284,0.806685,0.103621,0.837838,1795.0,0.0,2.0,2.0,36.0,1609.0,3.0,127.0,0.081894,0.181934,0.5,9.8,1.1,1.6,2340.0
119,640,1,1,yolov8s-pt,bytetrack,900.0,1.615618,1.257442,1.123651,0.369839,0.945915,8985.0,1.0,2.0,1.0,190.0,5662.0,2.0,1261.0,0.34847,0.18549,0.6,8.6,1.0,1.1,10169.999999999998
120,320,5,1,yolov8n-pt,bytetrack,180.0,1.432008,1.014074,0.762674,0.064067,0.982906,1795.0,0.0,1.0,3.0,2.0,1680.0,0.0,86.0,0.062953,0.286873,0.4,9.5,1.0,0.6,2070.0
121,320,1,1,yolov8l-pt,ocsort,900.0,1.552524,1.150076,1.013244,0.282693,0.925993,8985.0,1.0,1.0,2.0,203.0,6445.0,11.0,1156.0,0.258876,0.186825,0.4,13.6,1.1,1.4,14850.0
122,320,5,1,yolov8s-pt,bytetrack,180.0,1.472495,1.04025,0.835097,0.132033,0.983402,1795.0,1.0,1.0,2.0,4.0,1558.0,0.0,140.0,0.129805,0.217946,0.5,9.9,1.1,0.9,2232.0
123,640,2,1,yolov8n-pt,strongsort,450.0,1.532431,1.147984,1.096616,0.340828,0.790398,4492.0,1.0,2.0,1.0,406.0,2961.0,3.0,634.0,0.249777,0.189263,1.2,12.8,1.6,28.7,19935.0
124,320,3,1,yolov8l-pt,bytetrack,300.0,1.544681,1.127329,0.96994,0.245825,0.960836,2994.0,1.0,1.0,2.0,30.0,2258.0,0.0,354.0,0.235805,0.222423,0.4,14.2,1.1,1.0,5010.0
125,480,4,1,yolov8s-pt,strongsort,225.0,1.565304,1.168734,1.048531,0.303206,0.892529,2246.0,1.0,1.0,2.0,82.0,1565.0,0.0,314.0,0.266696,0.190486,0.9,15.8,1.7,27.6,10350.0
126,320,2,1,yolov8n-pt,ocsort,450.0,1.435151,1.021575,0.811665,0.107079,0.816638,4492.0,0.0,2.0,2.0,108.0,4011.0,3.0,317.0,0.082369,0.17949,0.4,9.3,1.0,1.1,5310.0
127,320,3,1,yolov8n-pt,strongsort,300.0,1.431209,1.01822,0.802605,0.098864,0.813187,2994.0,0.0,2.0,2.0,68.0,2698.0,4.0,197.0,0.074816,0.177105,0.8,9.7,1.3,20.9,9810.0
128,480,4,1,yolov8m-pt,strongsort,225.0,1.609148,1.315687,1.206144,0.45325,0.908118,2246.0,1.0,2.0,1.0,103.0,1228.0,4.0,342.0,0.40561,0.216802,0.8,26.2,1.5,29.1,12960.0
129,480,4,1,yolov8l-pt,ocsort,225.0,1.631838,1.378484,1.25512,0.50089,0.930521,2246.0,1.0,2.0,1.0,84.0,1121.0,4.0,337.0,0.46171,0.198317,0.4,15.2,1.0,2.7,4342.5
130,640,5,1,yolov8n-pt,strongsort,180.0,1.53556,1.138695,1.088579,0.326462,0.781333,1795.0,1.0,2.0,1.0,164.0,1209.0,0.0,260.0,0.235097,0.186725,1.1,14.4,1.8,30.1,8532.000000000002
131,320,5,1,yolov8m-pt,bytetrack,180.0,1.522278,1.098078,0.92312,0.206128,0.968586,1795.0,1.0,1.0,2.0,12.0,1425.0,0.0,187.0,0.199443,0.239541,0.5,14.9,1.2,1.1,3186.0000000000005
132,480,1,1,yolov8m-pt,ocsort,900.0,1.610046,1.324873,1.220033,0.463773,0.899611,8985.0,1.0,2.0,1.0,465.0,4818.0,6.0,1346.0,0.411352,0.214093,0.5,11.5,1.1,2.0,13590.0
133,640,2,1,yolov8m-pt,bytetrack,450.0,1.633774,1.366495,1.238424,0.486866,0.943486,4492.0,1.0,2.0,1.0,131.0,2305.0,0.0,664.0,0.457703,0.191103,0.5,11.8,1.0,1.3,6570.000000000001
134,640,5,1,yolov8n-pt,ocsort,180.0,1.533646,1.151586,1.091922,0.337047,0.795007,1795.0,1.0,2.0,1.0,156.0,1190.0,1.0,252.0,0.249582,0.185433,0.5,9.6,1.1,2.7,2501.9999999999995
135,480,5,1,yolov8l-pt,strongsort,180.0,1.625605,1.348981,1.216713,0.466852,0.939462,1795.0,1.0,2.0,1.0,54.0,957.0,2.0,278.0,0.435655,0.194783,0.8,29.4,1.3,27.6,10638.0
136,320,4,1,yolov8l-pt,ocsort,225.0,1.545861,1.144456,1.001781,0.27382,0.924812,2246.0,1.0,1.0,2.0,50.0,1631.0,2.0,283.0,0.250668,0.180816,0.4,14.9,1.1,2.0,4140.000000000001
137,640,1,1,yolov8n-pt,bytetrack,900.0,1.599212,1.180496,1.038731,0.286923,0.959434,8985.0,1.0,1.0,2.0,109.0,6407.0,0.0,1220.0,0.274791,0.193653,0.8,8.6,1.1,0.9,10260.0
