,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
164,320,4,1,yolov8m-pt,bytetrack,225.0,1.538909,1.114271,0.942119,0.21772,0.970238,2246.0,1.0,1.0,2.0,15.0,1757.0,0.0,243.0,0.211042,0.224379,0.4,12.4,1.1,1.0,3352.5
165,640,3,1,yolov8n-pt,ocsort,300.0,1.532205,1.148749,1.08851,0.335003,0.796032,2994.0,1.0,2.0,1.0,257.0,1991.0,2.0,421.0,0.248497,0.182174,0.6,9.2,1.2,2.4,4019.9999999999995
166,640,3,1,yolov8s-pt,ocsort,300.0,1.623805,1.376796,1.248497,0.490314,0.911801,2994.0,1.0,2.0,1.0,142.0,1526.0,2.0,435.0,0.442218,0.193031,0.6,9.6,1.1,2.4,4110.0
167,480,2,1,yolov8s-pt,ocsort,450.0,1.568197,1.180405,1.064782,0.316785,0.88495,4492.0,1.0,1.0,2.0,185.0,3069.0,2.0,637.0,0.275156,0.189556,0.6,9.3,1.1,1.8,5760.0
168,640,4,1,yolov8l-pt,ocsort,225.0,1.578426,1.381843,1.34862,0.590828,0.833543,2246.0,1.0,2.0,1.0,265.0,919.0,8.0,294.0,0.469279,0.18879,0.6,15.4,1.1,3.4,4612.5
169,640,3,1,yolov8s-pt,bytetrack,300.0,1.616195,1.261878,1.126587,0.373079,0.94661,2994.0,1.0,2.0,1.0,63.0,1877.0,0.0,440.0,0.352037,0.200062,0.5,9.6,1.1,1.2,3719.9999999999995
170,640,5,1,yolov8l-pt,ocsort,180.0,1.572739,1.372998,1.337047,0.583844,0.833731,1795.0,1.0,2.0,1.0,209.0,747.0,4.0,232.0,0.465181,0.185832,0.5,15.8,1.0,3.4,3726.0
171,320,4,1,yolov8s-pt,ocsort,225.0,1.523739,1.0885,0.914515,0.191897,0.957778,2246.0,1.0,1.0,2.0,19.0,1815.0,2.0,246.0,0.182547,0.169019,0.4,9.5,1.1,1.7,2857.5
172,480,4,1,yolov8s-pt,ocsort,225.0,1.567568,1.175482,1.058771,0.312556,0.890863,2246.0,1.0,1.0,2.0,86.0,1544.0,2.0,316.0,0.273375,0.191282,0.4,10.0,1.1,2.1,3060.0
173,480,3,1,yolov8s-pt,bytetrack,300.0,1.573196,1.148232,1.019372,0.275551,0.931151,2994.0,1.0,1.0,2.0,61.0,2169.0,0.0,402.0,0.255177,0.226712,0.5,10.8,1.2,1.2,4110.0
174,640,5,1,yolov8s-pt,bytetrack,180.0,1.613893,1.25188,1.113092,0.362117,0.954479,1795.0,1.0,2.0,1.0,31.0,1145.0,0.0,255.0,0.344847,0.217711,0.5,9.6,1.1,1.2,2231.9999999999995
175,480,5,1,yolov8m-pt,strongsort,180.0,1.589974,1.291793,1.183844,0.436769,0.892938,1795.0,1.0,2.0,1.0,94.0,1011.0,4.0,273.0,0.382173,0.215653,0.8,25.6,1.4,28.5,10134.0
176,320,1,1,yolov8l-pt,strongsort,900.0,1.55118,1.14841,1.012799,0.282026,0.922125,8985.0,1.0,1.0,2.0,214.0,6451.0,12.0,1152.0,0.256873,0.192042,0.6,16.6,1.3,23.8,38070.00000000001
177,320,5,1,yolov8s-pt,strongsort,180.0,1.5218,1.076974,0.904178,0.182173,0.967456,1795.0,1.0,1.0,2.0,11.0,1468.0,0.0,202.0,0.176045,0.180133,0.7,12.4,1.5,24.2,6983.999999999999
178,640,3,1,yolov8n-pt,bytetrack,300.0,1.597423,1.176984,1.03507,0.283233,0.957111,2994.0,1.0,1.0,2.0,38.0,2146.0,0.0,413.0,0.270541,0.21734,0.6,9.4,1.1,1.1,3660.0
179,640,2,1,yolov8l-pt,strongsort,450.0,1.558385,1.364025,1.348842,0.591496,0.809074,4492.0,1.0,2.0,1.0,627.0,1835.0,18.0,585.0,0.447907,0.189983,0.8,33.4,1.2,29.5,29205.000000000004
